network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.0.0.0/24,2151718,2077456,,0,0,3095,-37.7000,145.1833,1000
1.0.1.0/24,1810821,1814991,,0,0,,26.0614,119.3061,50
1.0.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.0.4.0/22,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.0.8.0/21,1809858,1814991,,0,0,,23.1167,113.2500,50
1.0.16.0/20,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.0.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500,50
1.0.64.0/20,1854383,1861060,,0,0,700-0824,34.6617,133.9350,50
1.0.80.0/22,1854383,1861060,,0,0,700-0824,34.6617,133.9350,50
1.0.84.0/23,1857550,1861060,,0,0,690-0887,35.4722,133.0506,50
1.0.86.0/23,1854383,1861060,,0,0,700-0824,34.6617,133.9350,50
1.0.88.0/21,1854383,1861060,,0,0,700-0824,34.6617,133.9350,50
1.0.96.0/20,1861084,1861060,,0,0,693-0012,35.3667,132.7667,100
1.0.112.0/23,1857550,1861060,,0,0,690-0887,35.4722,133.0506,200
1.0.114.0/23,1854383,1861060,,0,0,700-0824,34.6617,133.9350,200
1.0.116.0/22,1857550,1861060,,0,0,690-0887,35.4722,133.0506,200
1.0.120.0/21,1857550,1861060,,0,0,690-0887,35.4722,133.0506,200
1.0.128.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.136.0/22,1609350,1605651,,0,0,10290,13.8583,100.4688,100
1.0.140.0/23,1608900,1605651,,0,0,,16.1848,103.3007,100
1.0.142.0/23,1609350,1605651,,0,0,10290,13.8583,100.4688,100
1.0.144.0/21,1153557,1605651,,0,0,,10.5000,99.1667,500
1.0.152.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.160.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.164.0/22,1150678,1605651,,0,0,86130,10.2333,99.0833,20
1.0.168.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.176.0/22,1611269,1605651,,0,0,,12.6096,102.1045,1
1.0.180.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.182.0/23,1611269,1605651,,0,0,,12.6096,102.1045,10
1.0.184.0/22,1611269,1605651,,0,0,22120,12.6167,102.0167,200
1.0.188.0/23,1611269,1605651,,0,0,,12.6096,102.1045,200
1.0.190.0/23,1611269,1605651,,0,0,22120,12.6167,102.0167,200
1.0.192.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.194.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.195.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.0.196.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.200.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.204.0/23,1607708,1605651,,0,0,65000,16.8333,100.2500,100
1.0.206.0/24,1609379,1605651,,0,0,60170,15.5500,100.0833,100
1.0.207.0/24,1607708,1605651,,0,0,65000,16.8333,100.2500,100
1.0.208.0/22,1609350,1605651,,0,0,10200,13.7594,100.4889,500
1.0.212.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.216.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.218.0/24,1150515,1605651,,0,0,84150,9.1401,99.3331,1
1.0.219.0/24,7284248,1605651,,0,0,,9.4936,99.9492,1000
1.0.220.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.222.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.223.0/24,7284248,1605651,,0,0,,9.4936,99.9492,100
1.0.224.0/22,1151254,1605651,,0,0,,7.8333,98.3833,20
1.0.228.0/24,1151254,1605651,,0,0,83000,7.9500,98.3583,10
1.0.229.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.230.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.231.0/24,6941772,1605651,,0,0,,7.8961,98.2966,10
1.0.232.0/24,1151254,1605651,,0,0,83000,7.9500,98.3583,20
1.0.233.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.234.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.236.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.238.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.239.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.0.240.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.242.0/25,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.242.128/25,1151254,1605651,,0,0,,7.8333,98.3833,20
1.0.243.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.244.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.246.0/24,1151254,1605651,,0,0,,7.8333,98.3833,5
1.0.247.0/25,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.247.128/25,1151254,1605651,,0,0,,7.8333,98.3833,20
1.0.248.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.250.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.251.0/24,1151254,1605651,,0,0,83110,7.9833,98.3667,20
1.0.252.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.254.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.255.0/24,1151254,1605651,,0,0,,7.8333,98.3833,500
1.1.0.0/24,1810821,1814991,,0,0,,26.0614,119.3061,50
1.1.1.0/24,2151718,2077456,,0,0,3095,-37.7000,145.1833,1000
1.1.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.1.4.0/22,1810821,1814991,,0,0,,26.0614,119.3061,50
1.1.8.0/24,1814991,1814991,,0,0,,34.7725,113.7266,50
1.1.9.0/24,1809858,1814991,,0,0,,23.1167,113.2500,50
1.1.10.0/23,1809858,1814991,,0,0,,23.1167,113.2500,50
1.1.12.0/22,1809858,1814991,,0,0,,23.1167,113.2500,50
1.1.16.0/20,1809858,1814991,,0,0,,23.1167,113.2500,50
1.1.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500,50
1.1.64.0/19,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.96.0/20,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.112.0/21,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.120.0/22,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.124.0/24,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.0/27,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.32/28,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.48/30,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.52/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.53/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.54/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.55/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.56/30,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.60/31,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.62/31,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.64/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.65/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.66/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.67/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.68/30,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.72/30,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.76/31,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.78/31,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.80/29,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.88/31,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.90/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.91/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.92/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.93/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.94/31,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.96/30,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.100/31,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.102/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.103/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.104/31,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.106/32,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.107/32,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.108/31,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.110/31,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.125.112/28,1850147,1861060,,0,0,100-0001,35.6427,139.7677,500
1.1.125.128/25,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.126.0/23,6822217,1861060,,0,0,505-0074,35.4303,137.0001,500
1.1.128.0/24,1608597,1605651,,0,0,49000,16.4792,104.6583,1
1.1.129.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.130.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.132.0/22,1609430,1605651,,0,0,40170,16.7000,103.0833,500
1.1.136.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.140.0/22,1609776,1605651,,0,0,40000,16.2931,102.6157,200
1.1.144.0/20,1607812,1605651,,0,0,47130,17.3500,103.7833,100
1.1.160.0/23,1153671,1605651,,0,0,50000,18.7904,98.9847,200
1.1.162.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.164.0/24,1153671,1605651,,0,0,50000,18.7904,98.9847,1000
1.1.165.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.166.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.168.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.169.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.1.170.0/24,1153671,1605651,,0,0,50000,18.7904,98.9847,1000
1.1.171.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.1.172.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.1.173.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.174.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.1.175.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.176.0/22,1609350,1605651,,0,0,10220,13.8667,100.6000,20
1.1.180.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.182.0/23,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.1.184.0/23,1610469,1605651,,0,0,46000,16.4333,103.5000,20
1.1.186.0/23,1610469,1605651,,0,0,46000,16.4333,103.5000,50
1.1.188.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.190.0/24,1609350,1605651,,0,0,10120,13.7083,100.4562,10
1.1.191.0/25,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.191.128/25,1609350,1605651,,0,0,10200,13.7594,100.4889,1000
1.1.192.0/24,1610469,1605651,,0,0,46000,16.4333,103.5000,20
1.1.193.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.194.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.196.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.198.0/23,1610469,1605651,,0,0,46000,16.4333,103.5000,50
1.1.200.0/23,1610469,1605651,,0,0,46000,16.4333,103.5000,50
1.1.202.0/24,1609345,1605651,,0,0,46110,16.5410,104.0500,50
1.1.203.0/24,1610469,1605651,,0,0,46000,16.4333,103.5000,50
1.1.204.0/22,1610469,1605651,,0,0,46120,16.4000,103.3833,50
1.1.208.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.210.0/23,1609350,1605651,,0,0,10200,13.7594,100.4889,100
1.1.212.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.214.0/23,1621008,1605651,,0,0,45160,15.8431,103.8784,500
1.1.216.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.224.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.228.0/22,1606030,1605651,,0,0,,14.8818,103.4936,50
1.1.232.0/22,1609071,1605651,,0,0,42000,17.4833,101.7167,1
1.1.236.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.238.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.239.0/24,1609071,1605651,,0,0,42000,17.4833,101.7167,1
1.1.240.0/21,1609071,1605651,,0,0,42000,17.4833,101.7167,50
1.1.248.0/22,1605221,1605651,,0,0,61000,15.3667,100.0500,500
1.1.252.0/22,1605239,1605651,,0,0,41000,17.1336,102.9675,1000
1.2.0.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.2.2.0/24,1816670,1814991,,0,0,,39.9289,116.3883,50
1.2.3.0/24,5804306,6252001,,0,0,98275,47.9130,-122.3042,1000
1.2.4.0/24,1814991,1814991,,0,0,,34.7725,113.7266,50
1.2.5.0/24,1810821,1814991,,0,0,,26.0614,119.3061,50
1.2.6.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.2.8.0/24,1816670,1814991,,0,0,,39.9289,116.3883,50
1.2.9.0/24,1809858,1814991,,0,0,,23.1167,113.2500,50
1.2.10.0/23,1809858,1814991,,0,0,,23.1167,113.2500,50
1.2.12.0/22,1809858,1814991,,0,0,,23.1167,113.2500,50
1.2.16.0/20,1809858,1814991,,0,0,,23.1167,113.2500,50
1.2.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500,50
1.2.64.0/18,1809858,1814991,,0,0,,23.1167,113.2500,50
1.2.128.0/22,1609776,1605651,,0,0,40000,16.2931,102.6157,500
1.2.132.0/23,1609776,1605651,,0,0,40000,16.2931,102.6157,500
1.2.134.0/23,1609776,1605651,,0,0,,16.4467,102.8330,500
1.2.136.0/23,1609776,1605651,,0,0,40000,16.2931,102.6157,1
1.2.138.0/24,1609776,1605651,,0,0,40000,16.2931,102.6157,1
1.2.139.0/24,1618030,1605651,,0,0,,16.4000,102.6833,1
1.2.140.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.144.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.152.0/21,1609430,1605651,,0,0,40170,16.7000,103.0833,100
1.2.160.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.164.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.166.0/23,1609350,1605651,,0,0,10100,13.7333,100.5000,500
1.2.168.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.176.0/23,1607725,1605651,,0,0,66000,16.4418,100.3488,500
1.2.178.0/24,1150965,1605651,,0,0,85000,9.9667,98.6333,500
1.2.179.0/24,1607725,1605651,,0,0,66000,16.4418,100.3488,500
1.2.180.0/24,1609350,1605651,,0,0,10250,13.8583,100.4688,1
1.2.181.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.182.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.184.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.188.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.189.0/25,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.189.128/25,1621035,1605651,,0,0,14000,14.5884,100.4528,1
1.2.190.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.192.0/21,1607708,1605651,,0,0,65000,16.8333,100.2500,200
1.2.200.0/23,1607708,1605651,,0,0,65000,16.8333,100.2500,1
1.2.202.0/23,1619415,1605651,,0,0,73130,14.0167,100.1667,100
1.2.204.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.206.0/23,1607708,1605651,,0,0,65000,16.8333,100.2500,200
1.2.208.0/23,1616073,1605651,,0,0,,13.0128,100.9898,500
1.2.210.0/23,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.2.212.0/22,1616073,1605651,,0,0,,13.0128,100.9898,500
1.2.216.0/23,1616073,1605651,,0,0,,13.0128,100.9898,500
1.2.218.0/24,1616073,1605651,,0,0,,13.0128,100.9898,500
1.2.219.0/24,1608900,1605651,,0,0,,16.1848,103.3007,500
1.2.220.0/24,1616073,1605651,,0,0,,13.0128,100.9898,500
1.2.221.0/24,1608900,1605651,,0,0,44000,15.9550,103.1867,500
1.2.222.0/23,1608900,1605651,,0,0,44000,15.9550,103.1867,500
1.2.224.0/21,1613658,1605651,,0,0,,14.6333,103.0333,100
1.2.232.0/22,1150007,1605651,,0,0,92140,7.5582,99.6105,200
1.2.236.0/23,1613658,1605651,,0,0,,14.6333,103.0333,200
1.2.238.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.240.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.248.0/22,1618473,1605651,,0,0,,13.6535,102.0883,1000
1.2.252.0/23,1608269,1605651,,0,0,,17.2041,102.4407,1
1.2.254.0/23,1605070,1605651,,0,0,47150,17.2941,103.6382,500
1.3.0.0/16,1809858,1814991,,0,0,,23.1167,113.2500,50
1.4.0.0/24,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.4.1.0/24,1810821,1814991,,0,0,,26.0614,119.3061,50
1.4.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.4.4.0/24,1816670,1814991,,0,0,,39.9289,116.3883,50
1.4.5.0/24,1810821,1814991,,0,0,,26.0614,119.3061,50
1.4.6.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.4.8.0/21,1809858,1814991,,0,0,,23.1167,113.2500,50
1.4.16.0/20,1809858,1814991,,0,0,,23.1167,113.2500,50
1.4.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500,50
1.4.64.0/18,1809858,1814991,,0,0,,23.1167,113.2500,50
1.4.128.0/23,1607001,1605651,,0,0,45000,16.0533,103.6539,100
1.4.130.0/23,1620965,1605651,,0,0,37000,15.6948,104.6485,100
1.4.132.0/22,1620965,1605651,,0,0,37000,15.6948,104.6485,100
1.4.136.0/22,1607001,1605651,,0,0,45000,16.0533,103.6539,100
1.4.140.0/23,1620965,1605651,,0,0,37000,15.6948,104.6485,1
1.4.142.0/23,1620566,1605651,,0,0,,13.4971,100.0833,50
1.4.144.0/23,1150626,1605651,,0,0,64120,17.1640,99.8622,500
1.4.146.0/23,1621008,1605651,,0,0,45160,15.8431,103.8784,50
1.4.148.0/22,1150626,1605651,,0,0,64120,17.1640,99.8622,1
1.4.152.0/23,1607001,1605651,,0,0,45000,16.0533,103.6539,50
1.4.154.0/23,1611233,1605651,,0,0,45180,15.8457,103.5572,20
1.4.156.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.158.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.159.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.4.160.0/22,7748986,1605651,,0,0,,17.1861,103.1628,1
1.4.164.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.168.0/21,8535755,1605651,,0,0,,17.3562,102.8026,1000
1.4.176.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.180.0/22,1609776,1605651,,0,0,,16.4467,102.8330,100
1.4.184.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.192.0/24,1609350,1605651,,0,0,10520,13.7167,100.7833,50
1.4.193.0/24,1609350,1605651,,0,0,10510,13.8167,100.7500,50
1.4.194.0/24,1609350,1605651,,0,0,10200,13.7594,100.4889,50
1.4.195.0/24,1609350,1605651,,0,0,10250,13.8583,100.4688,50
1.4.196.0/24,1609350,1605651,,0,0,10520,13.7167,100.7833,50
1.4.197.0/24,1609350,1605651,,0,0,10200,13.7594,100.4889,50
1.4.198.0/23,1609350,1605651,,0,0,10520,13.7167,100.7833,50
1.4.200.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.204.0/23,1608409,1605651,,0,0,,6.4264,101.8231,200
1.4.206.0/23,1609350,1605651,,0,0,10150,13.7000,100.4667,200
1.4.208.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.209.0/24,1609350,1605651,,0,0,10220,13.8667,100.6000,20
1.4.210.0/23,1153090,1605651,,0,0,,16.4834,99.5215,1
1.4.212.0/24,1609350,1605651,,0,0,10120,13.7083,100.4562,50
1.4.213.0/25,1609350,1605651,,0,0,10200,13.7594,100.4889,50
1.4.213.128/25,1609350,1605651,,0,0,10120,13.7083,100.4562,50
1.4.214.0/23,1609350,1605651,,0,0,10120,13.7083,100.4562,50
1.4.216.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.220.0/24,1153081,1605651,,0,0,,14.0032,99.5501,100
1.4.221.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.222.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.223.0/24,1605651,1605651,,0,0,,13.7500,100.4667,1000
1.4.224.0/22,1607615,1605651,,0,0,43100,18.0613,103.2227,50
1.4.228.0/22,1611475,1605651,,0,0,43140,18.3630,103.6519,50
1.4.232.0/22,1607615,1605651,,0,0,43100,18.0613,103.2227,50
1.4.236.0/24,1607615,1605651,,0,0,43100,18.0613,103.2227,50
